appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
42200,Nancy Drew® Dossier™: Resorting to Danger!,game,6.99,77,0,0,
207420,Wizorb,game,2.99,81,0,0,Action
207420,Wizorb,game,2.99,81,0,0,Adventure
333580,"Slow Down, Bull",game,1.99,65,0,0,Casual
432940,Breakneck,game,4.99,76,0,0,Early Access
38830,CrimeCraft: GangWars,game,0,68,0,1,Free to Play
207420,Wizorb,game,2.99,81,0,0,Indie
38830,CrimeCraft: GangWars,game,0,68,0,1,Massively Multiplayer
12640,Drakensang,game,9.99,75,0,0,RPG
208500,F1 2012™,game,19.99,80,0,1,Racing
25980,Majesty 2,game,9.99,72,0,0,Simulation
208500,F1 2012™,game,19.99,80,0,1,Sports
4780,Medieval II: Total War™ Kingdoms,game,11.99,85,0,1,Strategy
